TEXT,LABEL
853 But don't assume that one size fits everybody because it doesn't.,CLAIM
1768 Education at home is nothing like education at school.,CLAIM
46 School can be very bad for you.,CLAIM
71 I think everyone who is able should consider homeschooling their child.,CLAIM
4651 If you can homeschool your child through at least the middle school years do.,CLAIM
4943 I'm not either pro-homeschool or pro-public school. I have seen it from all angles and am now seeing it from the parent's angle. That angle is in choosing what it best for my child this year. This year it may be homeschool. Next year it may be public school. My child changes every year and so will his needs.,CLAIM
58 Nobody needs to be practicing religion at a public school.,CLAIM
87 No organized prayers or services anywhere on public school board property - FOR ANYONE.,CLAIM
75 Religion belongs in the home only. It does not belong at work or at school.,CLAIM
22 No prayers in schools!,CLAIM
141 No religion in schools....this is what we've come to.,CLAIM
592 Please stop reverse your decision and realize that religion all religions,CLAIM
554 Nobody is being influenced here - Muslim students are simply being given a place to pray. I'm good with that.,CLAIM
42 There should NOT be any praying in school.,CLAIM
13 Pray at home.,CLAIM
462 Get it out of public schools,CLAIM
1487 Why don't students that have a particularly strong religious faith go to schools that are especially for them (e.g. Muslims go to Muslim schools Christians to Christian schools Jewish to Jewish schools etc.),CLAIM
93 I think that religion should be either implemented for ALL religions; or otherwise for none.,CLAIM
31 NO PRAYER IN SCHOOLS!...period.,CLAIM
104 No religious activities in schools.,CLAIM
104 There is no place for religion in schools nor should taxpayers subsidize any religion's prayer services.,CLAIM
75 As a student i think schools should definately support prayer in schools .,CLAIM
597 As far as prayer in school I think a moment of silence to allow a private prayer of any type for anyone who wishes to give such is most appropiate.,CLAIM
558 Saying a student or a teacher can't pray is a OBVIOUS VIOLATION OF RELIGIOUS FREEDOM!,CLAIM
364 ok so i think giving five minutes up a day during school as prayer time where everyone prays in there heads i think would be ok.,CLAIM
101 If a student wishes to silently pray during my class I do not have a problem with it.,CLAIM
323 I also don't think teachers/administrators leading prayers over the intercom or whatever are acceptable.,CLAIM
382 However voluntary non-disruptive,CLAIM
2163 But not everyone is thrilled about the inclusion of prayer in school.,CLAIM
987 While I am a Christian and I follow Jesus I don’t believe that bringing ‘prayer back into the schools’ will do anything of value to our school system,CLAIM
95 I believe the demise of our schools are solely due in part to the removal of prayer in schools.,CLAIM
153 I believe that prayer being banned from the public school systems was by far the most uneducated and most of all immoral thing that could have been done.,CLAIM
385 i can truly say that prayer should be allowed in schools.,CLAIM
468 It just isn’t fair to have prayer required in schools.,CLAIM
31 Prayer should be back in school,CLAIM
5836 In conclusion I personally believe that forcing prayer upon our children in the class room is wrong.,CLAIM
3473 I don’t need schools or anybody else teaching my son about religion.,CLAIM
75 hi.i am a 35year old lady who would love to see prayer back in the schools.,CLAIM
403 please lets get prayer back in the schools,CLAIM
61 I will like to start prayer in the schools of Moses Lake Wa.,CLAIM
492 Let me say as a parent and as a Christian I don't want my daughter's teacher or her principal or her classmates leading her in prayer in school — including what someone else might consider good Christian prayer or else some watered-down pablum generic invocation.,CLAIM
2312 But more important than that imposing a state-sponsored religion is wrong.,CLAIM
2738 It's time to disestablish the Church in this country as well and allow children to pick any religion (or none) in their own time,CLAIM
2618 Private individuals can pray whenever and wherever they want; no one’s personal freedoms are being abridged in this regard. But the state (including the public schools) cannot mandate sponsor conduct,CLAIM
122 Prayer in schools should not be led by a school official (who is a gov't official if we are talking about public schools).,CLAIM
1155 Carry your Bible and pray if you want but do it privately.,CLAIM
31 Single sex schools are not good,CLAIM
137 Cut down on the (misogynistic) bigotry in the classroom and society and there won't be any perceived need for single-gender classrooms.,CLAIM
447 Let’s look at the advantages to sending your child to a co-ed school.,CLAIM
799 Advantages to sending your child to a single sex school include:,CLAIM
1775 Leonard Sax a psychologist and physician argues not only that gender segregated schools can be equal,CLAIM
2207 According to the ACLU not only are sex-segregated educational programs ineffective they are illegal.,CLAIM
207 I wouldn't be sending my children to a single sex school.,CLAIM
24 Personally i'd go co-ed.,CLAIM
946 If your daughter is on the fence about it i personally would go for the co ed school assuming its facilities teachers,CLAIM
378 However if you want an opinon from a general education pespective and you can read up on this,CLAIM
