TEXT,LABEL
Extreme lockdown laws extended for six months despite major Tory revolt https://t.co/a4HtSnwOdA,FALSE
"Finland. One year of pandemic! Now we are going in lockdown and putting curfews in some areas. How cool is that! Yeyyy we wanna play pandemic too because everyone else had their pandemic why can't we have too.  https://t.co/LUyj83u72n",TRUE
"March 2020: Wow this lockdown thing is so historic and unique. Hey did you see that WhatsApp thing about how they’re making a big lasagne in Wembley stadium?
March 2021: Still in lockdown and now WhatsApp is saying that James Rodriguez has had his dick chopped off",FALSE
'Lockdown wildlife - walks with my camera' is a free online event for carers in #Salisbury. Steve will share 12 months of his photographs. There will be plenty of time to ask questions and compare experiences. Book your place on this Zoom talk by emailing sassalisbury5@gmail.com https://t.co/e5t1Emv8HM,FALSE
@mrfgrimes1 @TheTweetingPie @Andrew_Adonis Because Europe is back in lockdown perhaps?,FALSE
"Watched #GodzillaVsKong on #IMAX at @jazzcinemas / #Luxe Chennai.. 
Great visual clarity/projection and amazing sound.. Best #IMAX experience.. 
Post-lockdown they also follow the #Covid protocols correctly.. A rewarding movie-watching experience..",FALSE
People do realize that supermarkets are usually packed around this time of the month right? It only makes sense that this lockdown however short it is will make it worse...I’m not surprised.,TRUE
*CHILE IMPOSES FULL LOCKDOWN IN ALL OF CAPITAL CITY SANTIAGO,FALSE
"Lib Dems have done a total U-turn on lockdown I see and now argue for a quicker route back to normal.
Would have been more impressive had it not been carried out from a position of such weakness as to make it seem opportunist.",TRUE
"https://t.co/GnFAHgGR7H Mumbai Society Converts Waste Into Fertilizer Grows 90 Kgs Organic Veggies Per Month https://t.co/I6FPUdLx1H",FALSE
"@RuthParry19 @fmwales because as soon as he lifted the stay at home rule cases in Merthyr for example have started to spike again if he doesn’t think of anything else we’ll be in this cycle for a very long time lockdown open lockdown etc. something else needs to happen.",FALSE
DJ Hazan Ft. Cyllabus Latest Lockdown Cyllabus 2021 https://t.co/ELuORj3v6p,FALSE
"I had a face to face interview in london today which I found out last night. I tried squeezing into my suit but the lockdown weight said no. Before running to tesco my mum made me wear my dads just in case we couldn’t find anything. I nearly cried putting it on https://t.co/Kl3Rwnj9dD",FALSE
*CHILE IMPOSES FULL LOCKDOWN IN ALL OF CAPITAL CITY SANTIAGO,FALSE
Total Lockdown Now! This Covid new strain is scary! Be ready!,TRUE
"A quick threat of disarmament &amp; you forgot about holding Cuomo &amp; the lockdown governors accountable.
See how this works?",FALSE
*CHILE IMPOSES FULL LOCKDOWN IN ALL OF CAPITAL CITY SANTIAGO,FALSE
"In an original interview with Lockdown Sceptics Prof Jay Bhattacharya Professor of Medicine at Stanford says vaccine passports are a terrible idea variants are over-hyped and masks are pointless. https://t.co/01CMd6Myqq",FALSE
"I've said it before and I'll say it again: this doesn't end until we say ""enough is enough"". Don't keep quiet. Use your voice and speak out against the lockdown now. https://t.co/wET6RR8YMa",TRUE
"I've said it before and I'll say it again: this doesn't end until we say ""enough is enough"". Don't keep quiet. Use your voice and speak out against the lockdown now. https://t.co/wET6RR8YMa",TRUE
Ngl but I kinda want that lockdown thing again.,FALSE
"Decided we need to spend our last Saturday Night in Lockdown having a huge party Manchester.  A night of MCR's best Bands DJ's Comics Drag and so much more raising funds for some of my fave venues https://t.co/vGJXRlyVhZ #saveourvenues https://t.co/aRr4dHTNIU",FALSE
"This story is heartbreakingly sad. 1.5 million children in the UK are now suffering from mental health problems - an increase of 500000 since the Covid pandemic began. The negative impact on our children’s mental health makes lockdowns unjustifiable.
https://t.co/Wjsop11YwG",TRUE
"Undoubtedly @srinivasiyc is the man. We saw how he and the @IYC teams across India fought against the virus and the unplanned lockdown that led the entire country to suffer.
Srinivas ji was not just a leader who gave orders. He was on the streets every day... https://t.co/dQGuRMlLMk",TRUE
Where 'freedom' meets the far right: the hate messages infiltrating Australian anti-lockdown protests https://t.co/AOEGNIdQc2,FALSE
