1,@julianHjessop Too late. No one in EU wanna AZN vaccine )
2,"THIS IS NOT OKAY. The virus is not under control and workers are at risk RIGHT NOW. (AND there's the possibility of a vaccine-resistant strain of the virus.)  Essential workers are getting us through this crisis, and are depending on you. NO DELAYS. https://t.co/fUQ9GgP4Bc"
3,"Everyone is talking about the vaccine, masks, social distancing etc, but no one is talking about vitamin d deficiency, zinc, ivermectin, staying fit, reducing obesity or anything else that would improve your chances of recovering from COVID outside of those things. It’s so odd."
4,"Sing it with me!
 Oh, happy day!
Oh, happy day!
I got the shot!
Shot 1's in my arm! 
#vaccinated #modernavaccine #Vaccine #CovidVaccines #ImNotThrowingAwayMyShot #ThankYouScience https://t.co/W38PpPKXIf"
5,"""Vaccine may not be suitable for young women""
+
""Under 30s should be offered alternative""
=
FMLLLLLL AM CONFIRMEDLY *OLD*"
6,I do NOT support a vaccine passport and have no intention of implementing one in the State of Missouri.
7,"F.A.S.C.I.N.A.T.I.N.G Video:

Real Purpose of COVID Vaccine https://t.co/2Gy5AsbdTL"
8,"When the polio vaccine dropped in 1955 people lined up to get it, &amp; we were 2 years away from artificial satellites. Now in 2021 we carry external world-brains in our pockets &amp; there’s robots on Mars and idiots think the COVID vaccine is full of wizard poison."
9,"4 in a million chance of clotting with the AZ vaccine.

About the same odds as you reading this getting killed by a shark."
10,"Man who thinks Canada should get tough on China, laments that several very small countries using China’s vaccine diplomacy are ahead of Canada. Is @erinotoole pro-China now, or is he calling out Doug Ford and Jason Kenney for not being as good at vaccinating as Seychelles? https://t.co/B8IwrBd1oI"
11,EMA: Has not yet reached a conclusion on AstraZeneca COVID-19 vaccine | World English News | WION https://t.co/JpcytCC2gv
12,The United Kingdom's drug regulator says the AstraZeneca vaccine has huge benefits but people under 30 will be offered another product due to a rare blood clot risk. https://t.co/iRVSuJ14hw
13,"If you’re a republican in office and you’re not vocally and aggressively opposing “vaccine passports” it may be time to find another career. 

This concept could be the greatest affront on our freedoms in recent history and if you don’t see that it’s a problem."
14,"Trump’s vaccine.

Trump’s wall.

Biden’s dementia.

That’s what we got so far..."
15,A close acquaintance of mine died from COVID on Sunday. What saddens me about her death is that she was offered the vaccine but refused because she wanted to see how others reacted.
16,"@WalterRothbard Think about the etymology of “vaccine”: from a Latin word having to do with cows (from the specific medical procedure leading to its invention). Making the term generic might help the PR campaign, but abandoning language to state apparatchiks seems foolish to me."
17,"Everyone is talking about the vaccine, masks, social distancing etc, but no one is talking about vitamin d deficiency, zinc, ivermectin, staying fit, reducing obesity or anything else that would improve your chances of recovering from COVID outside of those things. It’s so odd."
18,Okay Asunción let them know the benefits of the vaccine immunization passport #TheView
19,"President Obama gave Moderna $25 million in 2013 to develop mRNA vaccine technology. 

Which helped get us Covid 19 vaccinations in a pandemic. 

And now may get  us HIV vaccinations. 

Moral of the story: fund science,  elect Democrats up and down the ballot, and Thank Obama."
20,UK to offer non-AstraZeneca Covid-19 vaccine to under-30s over blood-clot link https://t.co/84hN4diKc0
21,"1 person dies in Kenya after taking AstraZeneca Covid-19 vaccine. 279 had adverse effects and 7 others were severe, Pharmacy and Poisons board says"
22,"India just recorded its biggest jump in new coronavirus infections since the pandemic began.

It comes as the world's biggest vaccine maker — located in India — said it was ""very stressed"" and needed government help to boost production.
https://t.co/3fOYmuMWE8"
23,"The public are against vaccine passports.
Industry is against vaccine passports.

There is literally no one except a handful of notable fascists calling for this.

So one must ask, where is the apparent “political pressure” coming from? Who is our government really answerable to?"
24,"NOW OPEN: We just opened 1,200 new appointment slots for #Moderna #COVID19 vaccine at Rodeo Reed Road Parking on April 10. #TakeYourBestShot to end this pandemic by registering NOW at https://t.co/56lmp1SQBo. #HouNews https://t.co/JUsEGs9PXR"
25,"I preferred it when Politics for All was sharing sensationalised content about the inner life of political parties, not essentially inaccurate stuff about who gets what vaccine."
26,"#COVID19 vaccine supply to Maharashtra Govt so far:
Already supplied - 1,06,19,190
In the pipeline - 7,43,280
Consumption - 90,53,523

Supply of vaccine is NOT the issue. It is only an excuse to divert attention from the absolute failure of Maharashtra govt to control COVID."
27,"Peace of mind is the ultimate food, shelter, medicine and vaccine.
I found the following that keeps a man at peace.
Best wishes at World Health Day https://t.co/l6L6CtuUpE"
28,When I got the vaccine they asked me how I was feeling and I said I feel kind of updog and they put the syringe back in and took the vaccine out of me
29,"@jbf1755 FYI, University of California statewide vaccine requirements from 2020. They'd had some version of this for decades. No vaccines means admission on hold until a Medical Exemption is approved. I fully expect Covid will get added to the list of mandatory vaccines. https://t.co/2V95vTfqEG"
30,"BREAK: Bavaria has negotiated 'preliminary contract' for 2.5 million doses of Russia's Sputnik V #vaccine 
https://t.co/T1ISpsCFZQ"
31,Uk can keep that bullshit vaccine over there
32,You know how you go to get the vaccine and no one asks for money and you aren’t worried about how much you’ll have to pay? Now imagine all healthcare was delivered like that.
33,The vaccine is not mandatory. Why are perfectly healthy people signing up to take it?
34,"Breaking—Adults under age 30 are to be offered an alternative #COVIDvaccine to the AstraZeneca vaccine due to mounting evidence linking it to rare blood clots, the UK's vaccine advisory body says. #covid19
 https://t.co/AqVppwiK5D"
35,"'We need people all around the country saying NO!'

If I don't do something, I wont be able to sleep at night knowing that in 6 months time when we are all scanning our vaccine passports to get into Sainsburys, I didn't try to do something. https://t.co/wg2jyZ4pr4"
36,"Scooplet: Biden's administration will announce today that vaccines are now available to all Community Health Centers nationwide.

It pushes the total to 1,470 CHCs, from 950. Patients are largely racial and ethnic minorities; the program is aimed at closing the vaccine race gap."
37,"""The benefits of the AstraZeneca vaccine against #COVID19 continues to outweigh the risks for the vast majority of people.""

MHRA chief executive Dr June Raine says the benefits for older people are great, but is ""more finely balanced"" for younger people.

https://t.co/tEhQi0lYdc https://t.co/pewJXhCkcY"
38,Imagine if the world was as concerned about blood clots from the pill as they are with the Covid vaccine  #AstraZeneca
39,"NEW: Fox News obtained emails sent between “60 Minutes” &amp; DeSantis’ office, who urged CBS to interview FL Dem Jared Moskowitz abt the vaccine rollout. A producer wrote “we appreciate his perspective.”

Moskowitz told them the Publix story was “bullshit.”

https://t.co/Q4ua32Ogh2"
40,"LOOK: Sec Carlito Galvez Jr, NTF against COVID-19 Chief Implementer &amp; Vaccine Czar bared that as of April 6, the govt has confirmed the arrival of 2M doses of anti-COVID 19 vaccines --- 1.5M doses from Sinovac &amp; 500,000 doses from Gamaleya.

Read: https://t.co/t9yAVibzpO https://t.co/ozZuaPlIH8"
41,"Okay, you've got to get all this Oxford-#AstraZeneca stuff into perspective. (1) Shouldn't affect UK vaccine rollout in near term, except extremely marginally as high-risk 20somethings get offered something else."
42,"Thank you @fordnation for announcing that Ontario is moving to Phase Two of the #COVID19 Vaccine Distribution Plan, prioritizing residents 50+ in hotspot communities, like #Peel. Please check the chart below to see if your postal code qualifies you for this early vaccination. https://t.co/luimy2xBiL"
43,"""Our conclusion is that these clotting disorders are very rare side-effects of the vaccine,"" says EMA safety committee chair Sabine Straus.
The cause is unclear, but it's possibly an immune response, EMA said.
The benefits nevertheless outweigh the risks.
https://t.co/MUTw3qPYrq"
44,Professor Jonathan Van-Tam says restricting the AstraZeneca vaccine to over 30s should a 'zero or negligible' impact on the UK's vaccination timetable - but is contingent upon UK receiving alternative jabs like Pfizer and Moderna https://t.co/zPE6Xgxoii https://t.co/dkqayUmnbu
45,"@edosch81 Exactly. If its right for you, do it. Leave everyone else alone regarding an untested vaccine that “may” only prevent symptoms and “may” only work for 6 months....."
46,"Professor Van Tam weighs up the risk:

 He says that older people are less likely to have blood clots, and there is a greater benefit for them to have the vaccine.

 He adds, 'we don't want it to result in a loss of vaccine confidence' urging people to have their second dose"
47,@KEdge23 @MoriartyProfJ3 Which is more of an instance of scaremongering: saying that u30s shouldn't take a vaccine for a virus that are at statistically no risk from; telling the population that they should act as if they were vectors of disease and are at tangible threat from a virus with a 0.15 IFR?
48,The government revealing young people's reward for giving up a year of their lives for others and being slapped with vaccine passports to keep us indoors so boomers feel safe https://t.co/uRBOTnpfBh
49,White House rules out Biden administration supporting vaccine passport system  https://t.co/FabcuHfYtW https://t.co/TbFW5ju6m8
50,BREAKING - Drug regulator of the European Union finds link between #AstraZeneca vaccine and blood clots (Reuters)
51,"#BREAKING: Canada could give 75 per cent of adults their first COVID-19 vaccine dose by mid-June if provinces stretch dosing intervals up to four months, NACI says.

https://t.co/9XioJMbDPa"
52,"While Rahul Gandhi spreads propaganda and media plays Nero’s Guest.. here is what vaccine prioritization works 

https://t.co/e7GGjTKqoW https://t.co/p2cRvqZ46x"
53,Boris Johnson vows to PUSH ON with plans for domestic vaccine passports https://t.co/ncEmisvbmv
54,Under-30s in UK to be offered alternative to Oxford-AstraZeneca Covid vaccine due to rare blood clot risk https://t.co/okgJLWuFXc
55,This covid vaccine research might help us get HIV up outta here too. Oh the things you can do when science is funded well.
56,"This is a great slide.
Worth noting it’s for “low exposure risk”- which might not be the case if we reopen fully with unvaccinated young populations and no precautions.

Blood clots with COVID infection still a higher risk than with vaccine https://t.co/ovdyXZFtpK"
57,The concept of vaccine cards/passports isn’t new. Here’s my vaccine card for yellow fever that let me get into Brazil and back into the US. I promise it’s not as weird or controlling as it’s been made out to be. Just an extra step to get us outta the pandemic sooner and safer https://t.co/YgW11N6nF4
58,"Astra Zeneca has sent legal notice to Serum Inst for delay in vaccine supply. This co has overcommitted to everyone knowing fully well its capacity limits

This is what happens if the govt of a country with 1/6th of world's population banks on just 2 or 3 sources. No wonder ++"
59,@SkyNewsBreak @GMB @BBCBreaking so a bit of a story here about the AstraZeneca vaccine and Pampers @BorisJohnson is no where to be seen. Perhaps he’s busy somewhere else but this is news. Well not very good news after he said it was a non story.
60,Then you must also inform them that Maharashtra is vaccinating nearly 5 lakh a day and 10 lakh of stock means two days of vaccine. 7.5 lakh in pipeline is 1.5 day requirement. So this isn’t a reply but an apology from them. https://t.co/G4E03DUEh4
61,just got my first dose of vaccine omfg https://t.co/jUqM4oAgDj
62,By #Kentucky Senator @RandPaul RT We must resist the latest COVID-era power grab: the 'vaccine passport' https://t.co/PBd3FAkJjd
63,"The govt is using the debate on Vaccine Passports as a smokescreen to cover up the failed Test &amp; Trace system.

If Test, Trace and Isolate worked there wouldn't be a need for domestic Vaccine Passports. Covid status would only be required for travelling outside or entry to the UK"
