LABEL,TEXT
FALSE, storybud - please take some time to find out about it before you condemn it so much. You could start here.	
FALSE, The Soham murders were the worst of child abuse. Good enough reason for home-schooling?	
TRUE,"cannibaldaveNot particularly unusual among the people I know. I just had nothing in common with the people I went to school with. Why should I? The coincidence of age and living in the same area were all there was to go on. You could call that in itself a very narrow prospect. The friends I had were of all ages and from a variety of different localities. ""A school doesn't need to be 'a nightmarish bully fest' to be a bane. All it needs to do is to fail to provide a totally unstimulating environment. Which mine did. It was boring tedious slow and frustrating. I learned nothing that I did not know before other than a handful of French verbs which have so far been of as much use as a chocolate fireguard. """"Each to his own as I said. If you really enjoyed school good for you. But don't assume that one size fits everybody because it doesn't. """
FALSE,You don't need to go to the US to find reports on how home educated children do. Try looking at the research from Paula Rothermel for example which can be found via her website. 
FALSE,"Thanks for the statical analysis (henceforward to be known as the JennM's god daughter report). ""Good luck with educating your daughter at home Annabel. My only experience was meeting two children in France who were educated by their French/British parents. I was very impressed but obviously you'd need to look at a lot more examples. """"I think some level of supervision is essential but it might help if those responsible had a certain degree of sympathy for parents like you. """
TRUE,"Your statistics are flawed. Look at the various links on this page. In particular http""Perhaps the (perceived) problems with your god daughter were the result of her being ""schooled"" and not ""educated"". The difference is what makes home education work. "
TRUE,"@JennM 7 Nov 2009""I have a group of friends who home educate they include a doctor ex teacher a radio presenter and lots of really interesting people who don't want to put up with second best. I met them when I took my youngest child who was 8 at the time"
FALSE,Most teachers would secretly agree the need for full on home and parent inspections even for some who are being sent to school. Stop blaming us and look at what happens at home they might say. 	But who could turn Ofsted on their worst enemy?	Good luck with the home schooling. Just I hope you have a lesson plan for each activity and a firm commitment to continual improvement. 	
TRUE,I trust that was tongue in cheek? Lesson plans (and the national curriculum) are the death of real education. 	
TRUE,"Shermanator how little do you know about home education - your comment ""The development of these social skills is something that simply can't be duplicated in a home setting."" is totally ridiculous! Home educators do not lock their children in cupboards all day and only bring them out on special occasions! I know a lot of home educators whose children are involved in	"" music lessons ballet drama St John Ambulance groups Guiding and Scouting etc etc. Children who are home educated are far more articulate than their schooled peers they have great confidence and they can socialise perfectly well with all ages whereas schooled children tend to stick to their peer group. Where in the world of business do you see an office full of 18 year olds and another full of 26 year olds - you don't! ""People who mention socialisation as a plus for schooling really should look at the product the schools churn out! How many 'hoodies' are home educated? How many pregnant 14 years olds are home educated? How many young people who knife their peers are home educated? How many underage drinkers/binge drinkers are home educated? How many smokers are home educated? Need I go on? 	Before using fallacious arguments people really need to look at the evidence and get their facts straight!"
FALSE,Surely there will be an increased risk to children in the new Free schools that can be set up above shops or in any other vacant building and which are outside local authority supervision. 	Do all involved even have to be CRB checked?	
FALSE,"6 questions. Just putting them out there for the room....	1) What the hell does this even mean?	2) Is there actually anyone who doesn't blame the mother and her partner?	3) Has anyone anywhere actually been accused of hate speech for doing so?	""4) No seriously anyone?""	5) Even by implication?	6) Do people who take up armchair warfare against the phantom PC menace ever stop and listen to themselves?"
FALSE,Where are all the chemicals the bunsen burners the physics circuits a shedload of other equipment and dead animals to cut up and all of the rest? 	1 in 3 state schools do not have practical science lessons because the kids can't be trusted not to test chemicals on each other. And they cut up live animals for fun in their own time.
TRUE,@oommph - here you get to a sensitive subject - modern science contains hardly any proper science just compare the exam papers from the past decade with those from the 70s and 80s. You're also making the mistake of directly comparing discrete subjects fr
FALSE,Well I'm acquainted with four cases and they are all more or less positive. Which trumps your three. QED. 	A pity you didn't receive a home education eileenphoto. Or some kind of education at least.	
TRUE,@eileenphoto	.	School can be very bad for you. For some people it can be a catastophic experience from which they never recover. To claim otherwise is rank ignorance. 	
